Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Basic Report
Report Run at: September 02, 2016 06:25 EDT
"Nutrient data for: 35225, Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,34.00,
"Energy",kcal,470,
"Protein",g,9.00,
"Total lipid (fat)",g,43.50,
"Carbohydrate, by difference",g,10.50,
Minerals
"Iron, Fe",mg,0.20,
"Magnesium, Mg",mg,16,
"Phosphorus, P",mg,134,
"Potassium, K",mg,206,
"Sodium, Na",mg,24,
"Zinc, Zn",mg,0.47,
Vitamins
"Thiamin",mg,0.060,
"Riboflavin",mg,0.060,
"Niacin",mg,1.430,
"Vitamin A, RAE",µg,34,
"Vitamin A, IU",IU,257,
"Vitamin E (alpha-tocopherol)",mg,4.00,
Lipids
"Fatty acids, total saturated",g,8.600,
"Fatty acids, total monounsaturated",g,15.600,
"Fatty acids, total polyunsaturated",g,17.300,
"Cholesterol",mg,26,
Amino Acids
Other
